alpha 	beta	V		CdA_ke	ClA_ke	CsA_ke		CrAl_ke		CpAl_ke 	CyAl_ke		CdA_kw	ClA_kw	CsA_kw		CrAl_kw		CpAl_kw 	CyAl_kw
----	----	----	---		---		---			---			---			---			---		---		---			---			---			---
25		0		17		0.1377	0.03883	-0.001594 	0.0002427	-0.007987 	-0.0003251	0.1418	0.03473	0.001095 	0.0001229	-0.009525 	-0.001065 
30		0		17		0.1458	0.04279	0.003148 	0.0002912   -0.01109	0.0008785   0.1519	0.03922	0.002871 	0.0003068   -0.01116 	-0.0005192 
35		0		17		0.1565	0.04619	-0.0002172 	3.784e-05   -0.01379	-0.0002416  0.1589	0.04496	0.0009152 	-1.863e-07  -0.01363 	0.0006932
40		0		17		0.1643	0.04933	0.0004236 	9.928e-05   -0.01483	-5.822e-05  0.1709	0.05033	0.0004858 	-0.0004038  -0.01587 	-0.0004372 
45		0		17		0.1751	0.05483	6.430e-05 	0.0001357   -0.01532	0.0001271   0.1847	0.05704	0.001965 	0.0009485   -0.01648 	0.0004725
50		0		17		0.1892	0.06546	-0.001107 	-0.0001159  -0.01305	-0.0002619  0.2081	0.06297	-0.003820 	0.001472    -0.01487 	0.0009538
55		0		17		0.1977	0.07252	0.0009222 	-2.169e-05  -0.01317	0.0001835   0.2105	0.06817	0.005690 	0.001440    -0.01894 	0.001597 
60		0		17		0.2060	0.07101	-0.002787 	-0.0008557  -0.01359	-0.0006059  0.2235	0.06349	0.005938 	0.0005266   -0.01488 	-9.136e-05 
65		0		17		0.2119	0.06448	-0.004751 	-0.0007236  -0.01416	-0.0005548  0.2312	0.06242	0.002869 	-0.0008886  -0.01628 	-0.0005706 
    
	
 	
	
	
 	
	
 	
 	
	
	
	

