beta 	alpha	V		CdA_ke	ClA_ke	CsA_ke		CrAl_ke		CpAl_ke		CyAl_ke		CdA_kw	ClA_kw	CsA_kw		CrAl_kw		CpAl_kw		CyAl_kw
----	----	----	----	----	----		----		----		----        ---		---		----		----		----		----
0	 	90		17		0.240	0.0564	-0.00198	-0.000935	0.0154		-0.00673    0.255	0.0474	0.00301		-0.000796	0.0184		-0.00619
15	 	90		17		0.237	0.0372	0.0111		-0.00592	0.0171		-0.00969    0.251	0.0291	0.0141		-0.00927	0.0179		-0.0117
30	 	90		17		0.250	0.0178	0.0209		-0.0150		0.0146		-0.0174     0.266	0.0215	0.0125		-0.0149		0.0159		-0.0196
45	 	90		17		0.262	0.0200	0.0165		-0.0235		0.0138		-0.0226     0.281	0.0116	0.0287		-0.0182		0.0135		-0.0257
60	 	90		17		0.260	0.0202	0.0200		-0.0196		0.00762		-0.0218     0.275	0.0164	0.0192		-0.0128		0.00603		-0.0230
70		90		17		0.250	0.0172	0.0187		-0.0150		0.00778		-0.0192     0.260	0.0197	0.00750		-0.0111		0.00628		-0.0211
75	 	90		17		0.245	0.0140	0.0167		-0.0137		0.00440		-0.0186     0.259	0.0125	0.00285		-0.0106		0.00416		-0.0209
80		90		17		0.250	0.0159	0.0167		-0.0153		0.00202		-0.0180     0.262	0.00279	0.0145		-0.00976	0.00111		-0.0190
90	 	90		17		0.253	0.0112	0.0247		-0.0128		0.000273	-0.0168     0.263	0.00157	0.0333		-0.00415	-0.00266	-0.0165
