beta 	alpha	V		CdA_ke	ClA_ke		CsA_ke		CrAl_ke		CpAl_ke		CyAl_ke		CdA_kw	ClA_kw		CsA_kw		CrAl_kw		CpAl_kw		CyAl_kw	
----	----	----	----	----		----	    ----		----		----	    ----	----		----		----		----		----	
0		90		17		0.2223	0.01150 	-0.008362 	0.001583	-0.008205	-6.574e-05	0.2367 	0.006840 	0.001892 	-0.001216	-0.008065	1.822e-05
10	   	90		17		0.2254 	0.006881 	0.001938 	0.004224    -0.008587   0.001435 	0.2348 	-0.004403 	0.01075 	0.003434    -0.007639   0.001322 
20	   	90		17		0.2368 	0.002072 	-0.001751 	0.01161     -0.01159    0.002626	0.2440 	-0.007379 	0.001045 	0.007273    -0.01071    0.001545                                              
30		90		17      0.2496 -0.005639    -0.008056   0.01908		-0.01421    0.005011	0.2572 	-0.005731 	-0.003160 	0.01242     -0.01411    0.003305 
40	   	90		17		0.2530 	-0.007144 	-0.021957 	0.02353     -0.01296    0.005038	0.2595 	-0.01368 	-0.02280 	0.01784     -0.01167    0.004834 
50	   	90		17		0.2451 	-0.001089 	-0.031319 	0.02377     -0.009532   0.005748 	0.2574 	-0.01245 	-0.03516 	0.01930     -0.006306   0.006099 
60		90		17		0.2408 	0.008218 	-0.01977 	0.02131     -0.004360   0.006603 	0.2528 	-0.007999 	-0.01961 	0.01847     -0.003117   0.006986                                                 
70		90		17      NaN     NaN         NaN         NaN         NaN         NaN			0.2334 	0.009238 	-0.02368 	0.01341     -0.002452   0.008035 
80		90		17      NaN     NaN         NaN         NaN         NaN         NaN			0.2073 	0.003573 	-0.006513 	0.01234     -0.003508   0.006052 
90	    90		17		0.1939 	0.01216 	-0.004039 	0.01047     -0.004829   0.003716	0.1959 	0.005293 	-0.01111 	0.004097    -0.003196   0.003489 


